Country,HCI_Group,HCI_2022_Score,Adult_Literacy_Index,Adult_Literacy_Year,Adult_Literacy_Source,Gross_Enrollment_Ratio_Index,Gross_Enrollment_Ratio_Year,Gross_Enrollment_Ratio_Source,Expected_Year_of_Schooling_Index,Expected_Year_of_Schooling_Year,Expected_Year_of_Schooling_Source,Mean_Year_of_Schooling_Index,Mean_Year_of_Schooling_Year,Mean_Year_of_Schooling_Source
Afghanistan,Middle HCI,0.3493,37.27,2021,UNESCO,64.43,2018,UNESCO,10.2,2018,UNESCO,3.9,2019,UNDP
Albania,Very High HCI,0.8022,98.14,2018,UNESCO,83,2020,UNESCO,14.45,2020,UNESCO,10.1,2019,UNDP
Algeria,High HCI,0.6956,81.41,2018,UNESCO,80.87,2011,UNESCO,14.33,2011,UNESCO,8,2019,UNDP
Andorra,Very High HCI,0.7585,100,2016,UNESCO,69,2014,UNESCO,13.3,2019,UNDP*,10.5,2019,UNDP
Angola,Middle HCI,0.4648,66.03,2014,UNESCO,61.3,2011,UNESCO,9.56,2011,UNESCO,5.2,2019,UNDP
Antigua and Barbuda,Very High HCI,0.8128,98.95,2015,UNESCO,87.76,2012,UNESCO,14.86,2012,UNESCO,9.3,2019,UNDP
Argentina,Very High HCI,0.9173,99,2018,UNESCO,100,2019,UNESCO,17.87,2019,UNESCO,10.9,2019,UNDP
Armenia,Very High HCI,0.7945,99.79,2020,UNESCO,78.48,2020,UNESCO,13.12,2020,UNESCO,11.3,2019,UNDP
Australia,Very High HCI,1,99,2014,UNESCO,100,2019,UNESCO,21.58,2019,UNESCO,12.7,2019,UNDP
Austria,Very High HCI,0.907,99,2014,UNESCO,97.43,2019,UNESCO,16.01,2019,UNESCO,12.5,2019,UNDP
Azerbaijan,Very High HCI,0.7932,99.8,2019,UNESCO,79.8,2020,UNESCO,13.5,2020,UNESCO,10.6,2019,UNDP
Bahamas,Very High HCI,0.7641,95.8,2014,UNESCO,74,2014,UNESCO,12.9,2019,UNDP*,11.4,2019,UNDP
Bahrain,Very High HCI,0.8154,90.98,2010,UNESCO,91.19,2019,UNESCO,16.3,2019,UNESCO,9.5,2019,UNDP
Bangladesh,High HCI,0.59,74.91,2020,UNESCO,72.46,2020,UNESCO,12.44,2020,UNESCO,6.2,2019,UNDP
Barbados,Very High HCI,0.8645,99.6,2014,UNESCO,95.69,2011,UNESCO,15.29,2011,UNESCO,10.6,2019,UNDP
Belarus,Very High HCI,0.9011,99.87,2019,UNESCO,98.38,2018,UNESCO,15.4,2018,UNESCO,12.3,2019,UNDP
Belgium,Very High HCI,0.9614,99,2014,UNESCO,100,2019,UNESCO,19.6,2019,UNESCO,12.1,2019,UNDP
Belize,High HCI,0.6707,76.9,2000,UNESCO,75.12,2020,UNESCO,12.99,2020,UNESCO,9.9,2019,UNDP
Benin,Middle HCI,0.4391,42.36,2018,UNESCO,76.82,2016,UNESCO,12.61,2016,UNESCO,3.8,2019,UNDP
Bhutan,High HCI,0.5305,66.56,2017,UNESCO,71.11,2018,UNESCO,13.1,2018,UNESCO,4.1,2019,UNDP
Bolivia (Plurinational State of),High HCI,0.7483,92.46,2015,UNESCO,79.25,2007,UNESCO,14.2,2019,UNDP*,9,2019,UNDP
Bosnia and Herzegovina,High HCI,0.7489,96.99,2013,UNESCO,71,2014,UNESCO,13.8,2019,UNDP*,9.8,2019,UNDP
Botswana,High HCI,0.6932,86.82,2013,UNESCO,73.83,2008,UNESCO,12.42,2008,UNESCO,9.6,2019,
Brazil,Very High HCI,0.7953,93.23,2018,UNESCO,92.72,2019,UNESCO,15.6,2019,UNESCO,8.0,2019,UNDP
Brunei Darussalam,Very High HCI,0.7567,97.21,2018,UNESCO,76.39,2020,UNESCO,13.95,2020,UNESCO,9.1,2019,UNDP
Bulgaria,Very High HCI,0.8221,98.35,2011,UNESCO,85.52,2019,UNESCO,13.9,2019,UNESCO,11.4,2019,UNDP
Burkina Faso,Middle HCI,0.2768,39.35,2018,UNESCO,54.11,2020,UNESCO,9.14,2020,UNESCO,1.6,2019,UNDP
Burundi,Middle HCI,0.4837,68.38,2017,UNESCO,68.55,2018,UNESCO,10.78,2018,UNESCO,3.3,2019,UNDP
Cabo Verde,High HCI,0.6507,86.79,2015,UNESCO,75.32,2018,UNESCO,12.7,2018,UNESCO,6.3,2019,UNDP
Cambodia,High HCI,0.538,80.53,2015,UNESCO,62.75,2008,UNESCO,10.55,2008,UNESCO,5.0,2019,UNDP
Cameroon,High HCI,0.5928,77.07,2018,UNESCO,71.64,2016,UNESCO,12.1,2016,UNESCO,6.3,2019,UNDP
Canada,Very High HCI,0.926,99.0,2014,UNESCO,97.2,2019,UNESCO,16.4,2019,UNESCO,13.4,2019,UNDP
Central African Republic,Low HCI,0.2425,37.4,2018,UNESCO,42.18,2012,UNESCO,6.85,2012,UNESCO,4.3,2019,UNDP
Chad,Low HCI,0.1753,22.31,2016,UNESCO,46.66,2015,UNESCO,7.35,2015,UNESCO,2.5,2019,UNDP
Chile,Very High HCI,0.8853,96.4,2017,UNESCO,99.93,2019,UNESCO,16.73,2019,UNESCO,10.6,2019,UNDP
China,High HCI,0.7429,96.84,2018,UNESCO,85.32,2020,UNESCO,12.43,2010,UNESCO,8.1,2019,UNDP
Colombia,Very High HCI,0.7867,95.64,2020,UNESCO,89.3,2019,UNESCO,14.52,2019,UNESCO,8.5,2019,UNDP
Comoros,Middle HCI,0.471,58.82,2018,UNESCO,65.29,2014,UNESCO,11.24,2014,UNESCO,5.1,2019,UNDP
Congo,High HCI,0.5677,80.3,2018,UNESCO,64.46,2012,UNESCO,10.73,2012,UNESCO,6.5,2019,UNDP
Costa Rica,Very High HCI,0.8593,97.86,2018,UNESCO,100.0,2019,UNESCO,16.55,2019,UNESCO,8.7,2019,UNDP
Côte d’Ivoire,High HCI,0.5748,89.89,2019,UNESCO,61.42,2019,UNESCO,10.48,2019,UNESCO,5.3,2019,UNDP
Croatia,Very High HCI,0.85,99.13,2011,UNESCO,87.91,2019,UNESCO,15.11,2019,UNESCO,11.4,2019,UNDP
Cuba,Very High HCI,0.8384,99.75,2012,UNESCO,84.33,2020,UNESCO,14.44,2020,UNESCO,11.8,2019,UNDP
Cyprus,Very High HCI,0.8934,98.68,2011,UNESCO,96.59,2019,UNESCO,15.65,2019,UNESCO,12.2,2019,UNDP
Czech Republic,Very High HCI,0.9114,99.0,2014,UNESCO,93.82,2017,UNESCO,16.8,2019,UNDP*,12.7,2019,UNDP
Democratic People’s Republic of Korea,High HCI,0.649,100.0,2008,UNESCO,70.75,2015,UNESCO,10.8,2019,UNDP*,5.47,2017,estimation
Democratic Republic of the Congo,High HCI,0.5355,77.04,2016,UNESCO,61.9,2013,UNESCO,9.61,2013,UNESCO,6.8,2019,UNDP
Denmark,Very High HCI,0.9559,99.0,2014,UNESCO,100.0,2019,UNESCO,18.71,2019,UNESCO,12.6,2019,UNDP
Djibouti,Middle HCI,0.3529,70.3,2014,UNESCO,38.32,2011,UNESCO,6.46,2011,UNESCO,4.1,2019,UNDP
Dominica,High HCI,0.681,88.0,2014,UNESCO,73.0,2014,UNESCO,13.0,2019,UNDP*,8.1,2019,UNDP
Dominican Republic,Very High HCI,0.7539,93.78,2016,UNESCO,84.11,2017,UNESCO,14.22,2017,UNESCO,8.1,2019,UNDP
Country,HCI Group,HCI 2022,Adult Literacy (%),Gross Enrollment Ratio,Expected Year of Schooling,Mean Year of Schooling,,,,,,,,
,,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source,
Egypt,High HCI,0.6375,71.17,2017,UNESCO,81.68,2018,UNESCO,13.61,2018,UNESCO,7.4,2019,UNDP
El Salvador,High HCI,0.6268,89.14,2019,UNESCO,66.25,2018,UNESCO,11.59,2018,UNESCO,6.9,2019,UNDP
Equatorial Guinea,High HCI,0.5031,94.37,2010,UNESCO,44.55,2000,UNESCO,7.08,2000,UNESCO,5.9,2019,UNDP
Eritrea,Middle HCI,0.429,76.57,2018,UNESCO,49.14,2015,UNESCO,8.03,2015,UNESCO,3.9,2019,UNDP
Estonia,Very High HCI,0.9231,99.89,2011,UNESCO,99.01,2019,UNESCO,15.93,2019,UNESCO,13.1,2019,UNDP
Eswatini,High HCI,0.6703,88.42,2018,UNESCO,76.22,2013,UNESCO,12.79,2013,UNESCO,6.9,2019,UNDP
Ethiopia,Middle HCI,0.3364,51.77,2017,UNESCO,54.53,2012,UNESCO,8.41,2012,UNESCO,2.9,2019,UNDP
Fiji,Very High HCI,0.7957,99.08,2017,UNESCO,77.9,2004,UNESCO,13.92,2004,UNESCO,10.9,2019,UNDP
Finland,Very High HCI,0.964,99,2014,UNESCO,100,2019,UNESCO,19.05,2019,UNESCO,12.8,2019,UNDP
France,Very High HCI,0.8784,99,2014,UNESCO,93.86,2019,UNESCO,15.81,2019,UNESCO,11.5,2019,UNDP
Gabon,High HCI,0.6706,84.67,2018,UNESCO,74.93,2001,UNESCO,12.19,2001,UNESCO,8.7,2019,UNDP
Gambia (Republic of The),Middle HCI,0.3301,50.78,2015,UNESCO,50.65,2010,UNESCO,7.96,2010,UNESCO,3.9,2019,UNDP
Georgia,Very High HCI,0.8984,99.56,2019,UNESCO,92.71,2020,UNESCO,15.57,2020,UNESCO,13.1,2019,UNDP
Germany,Very High HCI,0.9446,99,2014,UNESCO,96.24,2019,UNESCO,17.01,2019,UNESCO,14.2,2019,UNDP
Ghana,High HCI,0.6176,79.04,2018,UNESCO,72.47,2020,UNESCO,12.05,2020,UNESCO,7.3,2019,UNDP
Greece,Very High HCI,0.9405,97.94,2018,UNESCO,100,2019,UNESCO,20.03,2019,UNESCO,10.6,2019,UNDP
Grenada,Very High HCI,0.8977,98.6,2014,UNESCO,100,2018,UNESCO,18.63,2018,UNESCO,9,2019,UNDP
Guatemala,High HCI,0.5596,80.81,2018,UNESCO,61.26,2019,UNESCO,10.56,2019,UNESCO,6.6,2019,UNDP
Guinea,Middle HCI,0.2955,39.62,2018,UNESCO,54.49,2014,UNESCO,9.01,2014,UNESCO,2.8,2019,UNDP
Guinea-Bissau,Middle HCI,0.3585,45.58,2014,UNESCO,62.98,2006,UNESCO,9.19,2006,UNESCO,3.6,2019,UNDP
Guyana,High HCI,0.6546,85.64,2014,UNESCO,73.01,2012,UNESCO,11.43,2012,UNESCO,8.5,2019,UNDP
Haiti,Middle HCI,0.393,61.69,2016,UNESCO,39.4,2014,UNESCO,9.7,2019,UNDP*,5.6,2019,UNDP
Honduras,High HCI,0.5901,88.51,2019,UNESCO,62.61,2019,UNESCO,10.3,2019,UNESCO,6.6,2019,UNDP
Hungary,Very High HCI,0.8345,99.1,2014,UNESCO,89.26,2019,UNESCO,13.19,2019,UNESCO,12.0,2019,UNDP
Iceland,Very High HCI,0.9657,99.0,2014,UNESCO,100.0,2019,UNESCO,19.16,2019,UNESCO,12.8,2019,UNDP
India,High HCI,0.5761,74.37,2018,UNESCO,69.67,2020,UNESCO,11.87,2020,UNESCO,6.5,2019,UNDP
Indonesia,High HCI,0.7438,96.0,2020,UNESCO,80.16,2018,UNESCO,13.61,2018,UNESCO,8.2,2019,UNDP
Iran (Islamic Republic of),Very High HCI,0.7804,85.54,2016,UNESCO,89.88,2017,UNESCO,14.81,2017,UNESCO,10.3,2019,UNDP
Iraq,High HCI,0.5888,85.6,2017,UNESCO,63.14,2004,UNESCO,10.16,2004,UNESCO,7.3,2019,UNDP
Ireland,Very High HCI,0.9618,99.2,2015,UNDP (HDI),100.0,2019,UNESCO,18.95,2019,UNESCO,12.7,2019,UNDP
Israel,Very High HCI,0.8994,97.76,2011,UNESCO,93.61,2019,UNESCO,16.05,2019,UNESCO,13.0,2019,UNDP
Italy,Very High HCI,0.8606,99.16,2018,UNESCO,91.15,2019,UNESCO,16.23,2019,UNESCO,10.4,2019,UNDP
Jamaica,High HCI,0.7148,88.1,2014,UNESCO,79.03,2005,UNESCO,12.42,2005,UNESCO,9.7,2019,UNDP
Japan,Very High HCI,0.8765,99.0,2014,UNESCO,88.88,2018,UNESCO,15.19,2018,UNESCO,12.9,2019,UNDP
Jordan,High HCI,0.6967,98.23,2018,UNESCO,63.59,2020,UNESCO,10.65,2020,UNESCO,10.5,2019,UNDP
Kazakhstan,Very High HCI,0.9021,99.78,2018,UNESCO,99.09,2020,UNESCO,15.77,2020,UNESCO,11.9,2019,UNDP
Kenya,High HCI,0.5641,81.53,2018,UNESCO,63.34,2009,UNESCO,10.27,2009,UNESCO,6.6,2019,UNDP
Kiribati,High HCI,0.6785,93.0,2014,UN E-GOV Survey,71.85,2008,UNESCO,11.82,2008,UNESCO,8.0,2019,UNDP
Kuwait,Very High HCI,0.7706,96.46,2020,UNESCO,88.11,2015,UNESCO,14.69,2015,UNESCO,7.3,2019,UNDP
Kyrgyzstan,Very High HCI,0.8119,99.59,2018,UNESCO,85.47,2020,UNESCO,13.2,2020,UNESCO,11.1,2019,UNDP
Lao People’s Democratic Republic,High HCI,0.5468,84.66,2015,UNESCO,60.64,2020,UNESCO,10.14,2020,UNESCO,5.3,2019,UNDP
Latvia,Very High HCI,0.9284,99.89,2018,UNESCO,100.0,2019,UNESCO,16.2,2019,UNESCO,13.0,2019,UNDP
Lebanon,High HCI,0.6656,95.07,2018,UNESCO,63.43,2015,UNESCO,11.3,2019,UNDP*,8.7,2019,UNDP
Lesotho,High HCI,0.595,76.64,2014,UNESCO,71.78,2017,UNESCO,12.13,2017,UNESCO,6.5,2019,UNDP
Liberia,Middle HCI,0.4184,48.3,2017,UNESCO,65.41,2000,UNESCO,10.79,2000,UNESCO,4.8,2019,UNDP
Libya,Very High HCI,0.7534,86.1,2004,UNESCO,90.88,2003,UNESCO,15.45,2003,UNESCO,7.6,2019,UNDP
Liechtenstein,Very High HCI,0.8726,99.0,2014,UN E-GOV Survey,89.73,2019,UNESCO,15.18,2019,UNESCO,12.5,2019,UNDP
Lithuania,Very High HCI,0.9251,99.82,2011,UNESCO,97.95,2019,UNESCO,16.29,2019,UNESCO,13.1,2019,UNDP
Luxembourg,Very High HCI,0.8245,99.0,2014,UNESCO,78.03,2019,UNESCO,14.4,2019,UNESCO,12.3,2019,UNDP
Madagascar,High HCI,0.536,76.68,2018,UNESCO,63.43,2018,UNESCO,10.17,2018,UNESCO,6.1,2019,UNDP
Malawi,Middle HCI,0.4884,62.14,2015,UNESCO,70.63,2011,UNESCO,10.91,2011,UNESCO,4.7,2019,UNDP
Country,HCI Group,HCI 2022,Adult Literacy (%),Gross Enrollment Ratio,Expected Year of Schooling,Mean Year of Schooling,,,,,,,,
,,,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source
Maldives,High HCI,0.6937,97.73,2016,UNESCO,71.74,2019,UNESCO,12.64,2019,UNESCO,7,2019,UNDP
Mali,Low HCI,0.2193,30.76,2020,UNESCO,50.3,2017,UNESCO,7.46,2017,UNESCO,2.4,2019,UNDP
Malta,Very High HCI,0.8734,94.5,2018,UNESCO,94.09,2019,UNESCO,16.84,2019,UNESCO,11.3,2019,UNDP
Marshall Islands,High HCI,0.6903,98.27,2011,UNESCO,61.26,2019,UNESCO,10.24,2019,UNESCO,10.9,2019,UNDP
Mauritania,Middle HCI,0.3873,53.5,2017,UNESCO,55.2,2019,UNESCO,9.38,2019,UNESCO,4.7,2019,UNDP
Mauritius,Very High HCI,0.7733,91.33,2018,UNESCO,82.43,2017,UNESCO,15.06,2017,UNESCO,9.5,2019,UNDP
Mexico,Very High HCI,0.7874,95.25,2020,UNESCO,86.71,2019,UNESCO,14.86,2019,UNESCO,8.8,2019,UNDP
Micronesia (Federated States of),High HCI,0.6845,94,2014,UNESCO,75.28,2004,UNESCO,11.5,2019,UNESCO,7.8,2019,UNDP
Monaco,Very High HCI,0.8302,99,2014,UN E-GOV Survey,99,2014,UNDP,11.8,2015,UNDP (HDI),11.27,2017,estimation
Mongolia,Very High HCI,0.8391,99.18,2020,UNESCO,90.62,2019,UNESCO,14.98,2019,UNESCO,10.3,2019,UNDP
Montenegro,Very High HCI,0.8383,98.85,2018,UNESCO,83.3,2020,UNESCO,15.08,2020,UNESCO,11.6,2019,UNDP
Morocco,High HCI,0.635,73.75,2018,UNESCO,84.11,2020,UNESCO,14.15,2020,UNESCO,5.6,2019,UNDP
Mozambique,Middle HCI,0.429,60.66,2017,UNESCO,63.25,2017,UNESCO,9.97,2017,UNESCO,3.5,2019,UNDP
Myanmar,High HCI,0.5829,89.07,2019,UNESCO,65.98,2018,UNESCO,10.67,2018,UNESCO,5,2019,UNDP
Namibia,High HCI,0.6516,91.53,2018,UNESCO,71.31,2006,UNESCO,11.54,2006,UNESCO,7,2019,UNDP
Nauru,High HCI,0.5925,92,2014,UN E-GOV Survey,59.59,2008,UNESCO,9.57,2008,UNESCO,7.12,2017,estimation
Nepal,High HCI,0.5636,67.91,2018,UNESCO,75.69,2019,UNESCO,13.15,2019,UNESCO,5,2019,UNDP
Netherlands,Very High HCI,0.9506,99,2014,UNESCO,100,2018,UNESCO,18.56,2018,UNESCO,12.4,2019,UNDP
New Zealand,Very High HCI,0.9823,99,2014,UNESCO,100,2019,UNESCO,20.28,2019,UNESCO,12.8,2019,UNDP
Nicaragua,High HCI,0.6,82.61,2015,UNESCO,69.69,2002,UNESCO,10.86,2002,UNESCO,6.9,2019,UNDP
Niger,Low HCI,0.1915,35.05,2018,UNESCO,41.71,2017,UNESCO,6.41,2017,UNESCO,2.1,2019,UNDP
Nigeria,Middle HCI,0.4439,62.02,2018,UNESCO,56.06,2011,UNESCO,8.68,2011,UNESCO,6.7,2019,UNDP
North Macedonia,Very High HCI,0.7562,98.36,2020,UNESCO,73.15,2018,UNESCO,13.51,2018,UNESCO,9.8,2019,UNDP
Norway,Very High HCI,0.9528,99.0,2014,UNESCO,100.0,2019,UNESCO,18.19,2019,UNESCO,12.9,2019,UNDP
Oman,Very High HCI,0.8067,95.65,2018,UNESCO,89.57,2020,UNESCO,14.57,2020,UNESCO,9.7,2019,UNDP
Pakistan,Middle HCI,0.3933,58.0,2019,UNESCO,52.12,2019,UNESCO,8.66,2019,UNESCO,5.2,2019,UNDP
Palau,Very High HCI,0.8946,96.59,2015,UNESCO,93.42,2013,UNESCO,16.59,2013,UNESCO,12.5,2019,UNDP
Panama,Very High HCI,0.7525,95.74,2019,UNESCO,76.43,2016,UNESCO,12.91,2016,UNESCO,10.2,2019,UNDP
Papua New Guinea,Middle HCI,0.4996,61.6,2010,UNESCO,78.93,2012,UNESCO,10.2,2019,UNDP*,4.7,2019,UNDP
Paraguay,High HCI,0.6947,94.54,2020,UNESCO,70.77,2010,UNESCO,12.19,2010,UNESCO,8.5,2019,UNDP
Peru,Very High HCI,0.8207,94.5,2020,UNESCO,93.84,2017,UNESCO,14.99,2017,UNESCO,9.7,2019,UNDP
Philippines,Very High HCI,0.7629,96.28,2019,UNESCO,82.35,2017,UNESCO,13.15,2017,UNESCO,9.4,2019,UNDP
Poland,Very High HCI,0.9033,98.74,2008,UNESCO,96.39,2019,UNESCO,16.03,2019,UNESCO,12.5,2019,UNDP
Portugal,Very High HCI,0.8665,96.14,2018,UNESCO,100.0,2019,UNESCO,16.87,2019,UNESCO,9.3,2019,UNDP
Qatar,High HCI,0.715,93.46,2017,UNESCO,70.56,2020,UNESCO,12.64,2020,UNESCO,9.7,2019,UNDP
Republic of Korea,Very High HCI,0.9087,97.97,2008,UNESCO,98.4,2019,UNESCO,16.52,2019,UNESCO,12.2,2019,UNDP
Republic of Moldova,Very High HCI,0.8613,99.36,2014,UNESCO,93.45,2020,UNESCO,14.43,2020,UNESCO,11.7,2019,UNDP
Romania,Very High HCI,0.809,98.84,2018,UNESCO,80.18,2019,UNESCO,14.23,2019,UNESCO,11.1,2019,UNDP
Russian Federation,Very High HCI,0.9065,99.73,2018,UNESCO,99.1,2019,UNESCO,15.77,2019,UNESCO,12.2,2019,UNDP
Rwanda,High HCI,0.5322,73.22,2018,UNESCO,70.54,2019,UNESCO,11.23,2019,UNESCO,4.4,2019,UNDP
Saint Kitts and Nevis,Very High HCI,0.8724,97.8,2014,UNESCO,100.0,2015,UNESCO,17.45,2015,UNESCO,8.7,2019,UNDP
Saint Lucia,High HCI,0.7049,94.8,2014,UNESCO,70.47,2020,UNESCO,12.87,2020,UNESCO,8.5,2019,UNDP
Saint Vincent and the Grenadines,High HCI,0.742,88.1,2014,UNESCO,83.56,2015,UNESCO,14.32,2015,UNESCO,8.8,2019,UNDP
Samoa,High HCI,0.747,99.1,2018,UNESCO,71.33,2000,UNESCO,12.0,2000,UNESCO,10.8,2019,UNDP
San Marino,High HCI,0.7466,99.92,2018,UNESCO,68.94,2020,UNESCO,12.27,2020,UNESCO,10.75,2018,UNESCO
Sao Tome and Principe,High HCI,0.6759,92.82,2018,UNESCO,76.9,2015,UNESCO,12.38,2015,UNESCO,6.4,2019,UNDP
Saudi Arabia,Very High HCI,0.8662,97.59,2020,UNESCO,96.81,2020,UNESCO,16.14,2020,UNESCO,10.2,2019,UNDP
Senegal,Middle HCI,0.3478,51.9,2017,UNESCO,53.85,2020,UNESCO,8.96,2020,UNESCO,3.2,2019,UNDP
Serbia,Very High HCI,0.8332,99.48,2019,UNESCO,86.33,2020,UNESCO,14.4,2020,UNESCO,11.2,2019,UNDP
Seychelles,Very High HCI,0.7758,95.87,2018,UNESCO,80.12,2020,UNESCO,13.94,2020,UNESCO,10.0,2019,UNDP
Sierra Leone,Low HCI,0.2459,43.21,2018,UNESCO,41.15,2001,UNESCO,6.35,2001,UNESCO,3.7,2019,UNDP
Country,HCI Group,HCI 2022,Adult Literacy (%),Gross Enrollment Ratio,Expected Year of Schooling,Mean Year of Schooling,,,,,,,,
,,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source,
Slovakia,Very High HCI,0.8436,99.6,2015,UNDP (HDI),81.15,2019,UNESCO,14.51,2019,UNESCO,12.7,2019,UNDP
Slovenia,Very High HCI,0.9439,99.7,2014,UNESCO,99.77,2019,UNESCO,17.65,2019,UNESCO,12.7,2019,UNDP
Solomon Islands,Middle HCI,0.4925,76.6,2009,UNESCO,55.39,2007,UNESCO,9.23,2007,UNESCO,5.7,2019,UNDP
Somalia,Low HCI,0,24,2014,UN E-Gov Survey,17,2014,UNDP,2.4,2013,UNDP (HDI),0.97,2017,estimation
South Africa,Very High HCI,0.7733,95.02,2019,UNESCO,80.91,2019,UNESCO,13.64,2019,UNESCO,10.2,2019,UNDP
South Sudan,Low HCI,0.2038,34.52,2018,UNESCO,38,2014,UNESCO,5.3,2019,UNDP*,4.8,2019,UNDP
Spain,Very High HCI,0.9072,98.59,2020,UNESCO,100,2019,UNESCO,17.92,2019,UNESCO,10.3,2019,UNDP
Sri Lanka,Very High HCI,0.7726,92.25,2019,UNESCO,79.92,2018,UNESCO,14.11,2018,UNESCO,10.6,2019,UNDP
Sudan,Middle HCI,0.3599,60.7,2018,UNESCO,49.69,2015,UNESCO,7.61,2015,UNESCO,3.8,2019,UNDP
Suriname,High HCI,0.6921,94.38,2018,UNESCO,70.03,2002,UNESCO,11.37,2002,UNESCO,9.3,2019,UNDP
Sweden,Very High HCI,0.9649,99,2014,UNESCO,100,2019,UNESCO,19.42,2019,UNESCO,12.5,2019,UNDP
Switzerland,Very High HCI,0.9128,99,2014,UNESCO,92.09,2019,UNESCO,16.5,2019,UNESCO,13.4,2019,UNDP
Syrian Arab Republic,Middle HCI,0.4983,80.84,2004,UNESCO,55.11,2013,UNESCO,9.16,2013,UNESCO,5.1,2019,UNDP
Tajikistan,High HCI,0.738,99.8,2014,UNESCO,70.93,2013,UNESCO,11.39,2013,UNESCO,10.7,2019,UNDP
Thailand,Very High HCI,0.7879,93.77,2018,UNESCO,90.87,2016,UNESCO,15.42,2016,UNESCO,7.9,2019,UNDP
Timor-Leste,High HCI,0.5546,68.07,2018,UNESCO,77.01,2010,UNESCO,12.45,2010,UNESCO,4.8,2019,UNDP
Togo,High HCI,0.5508,66.54,2019,UNESCO,75.88,2017,UNESCO,12.72,2017,UNESCO,4.9,2019,UNDP
Tonga,Very High HCI,0.8675,99.41,2018,UNESCO,89.85,2020,UNESCO,16.05,2020,UNESCO,11.2,2019,UNDP
Trinidad and Tobago,High HCI,0.7409,98.7,2010,UNESCO,67.3,2004,UNESCO,12.27,2004,UNESCO,11,2019,UNDP
Tunisia,High HCI,0.6911,79.04,2014,UNESCO,82.74,2016,UNESCO,15.13,2016,UNESCO,7.2,2019,UNDP
Türkiye,Very High HCI,0.8722,96.74,2019,UNESCO,100,2019,UNESCO,18.34,2019,UNESCO,8.1,2019,UNDP
Turkmenistan,Very High HCI,0.7892,99.7,2014,UNESCO,81.66,2020,UNESCO,13.21,2020,UNESCO,10.3,2019,UNDP
Tuvalu,High HCI,0.6492,98,2014,UN E-Gov Survey,65.37,2001,UNESCO,10.87,2001,UNESCO,6.93,2017,
Uganda,High HCI,0.5631,76.53,2018,UNESCO,68.94,2004.0,UNESCO,10.87,2004,UNESCO,6.2,2019,UNDP
Ukraine,Very High HCI,0.8669,99.97,2012,UNESCO,93.95,2014.0,UNESCO,14.86,2014,UNESCO,11.4,2019,UNDP
United Arab Emirates,Very High HCI,0.8711,97.56,2019,UNESCO,90.53,2020.0,UNESCO,15.72,2020,UNESCO,12.1,2019,UNDP
"United Kingdom of Great Britainand Northern Ireland",Very High HCI,0.9369,99.0,2014,UNESCO,97.37,2019.0,UNESCO,17.31,2019,UNESCO,13.2,2019,UNDP
United Republic of Tanzania,High HCI,0.51,77.89,2015,UNESCO,57.59,2020.0,UNESCO,9.22,2020,UNESCO,6.1,2019,UNDP
United States of America,Very High HCI,0.9276,99.0,2014,UNESCO,98.37,2019.0,UNESCO,16.28,2019,UNESCO,13.4,2019,UNDP
Uruguay,Very High HCI,0.898,98.77,2019,UNESCO,100.0,2019.0,UNESCO,18.71,2019,UNESCO,8.9,2019,UNDP
Uzbekistan,Very High HCI,0.7778,100.0,2019,UNESCO,72.99,2019.0,UNESCO,12.48,2019,UNESCO,11.8,2019,UNDP
Vanuatu,High HCI,0.6009,87.51,2018,UNESCO,63.5,2004.0,UNESCO,10.6,2004,UNESCO,7.1,2019,UNDP
"Venezuela, Bolivarian Republic of",Very High HCI,0.8181,97.13,2016,UNESCO,89.57,2009.0,UNESCO,14.32,2009,UNESCO,10.3,2019,UNDP
Viet Nam,High HCI,0.6903,95.75,2019,UNESCO,66.0,2014.0,UNESCO,12.7,2019,UNDP*,8.3,2019,UNDP
Yemen,Middle HCI,0.3633,54.1,2004,UNESCO,55.52,2011.0,UNESCO,9.1,2011,UNESCO,3.2,2019,UNDP
Zambia,High HCI,0.6744,86.75,2018,UNESCO,85.0,,UNDP,11.5,2019,UNDP*,7.2,2019,UNDP
Zimbabwe,High HCI,0.6463,88.69,2014,UNESCO,66.25,2013.0,UNESCO,11.36,2013,UNESCO,8.5,2019,UNDP
